Z,H,temp,temp_ratio,pressure,pressure_ratio,density,density_ratio,c,g
0.0000000000000000000,0.0000000000000000000,288.1500000000000000000,1.0000000000000000000,101320.0000000000000000000,1.0000000000000000000,1.2250000000000000000,1.0000000000000000000,340.2900000000000000000,9.8066000000000000000
5000.0000000000000000000,5000.0000000000000000000,255.6760000000000000000,0.8873000000000000000,54048.0000000000000000000,0.5334200000000000000,0.7364300000000000000,0.6011700000000000000,320.5500000000000000000,9.7912000000000000000
10000.0000000000000000000,10000.0000000000000000000,223.2520000000000000000,0.7748000000000000000,26500.0000000000000000000,0.2615300000000000000,0.4135100000000000000,0.3375600000000000000,299.5300000000000000000,9.7759000000000000000
15000.0000000000000000000,15000.0000000000000000000,216.6500000000000000000,0.7519000000000000000,12112.0000000000000000000,0.1195300000000000000,0.1947600000000000000,0.1589800000000000000,295.0700000000000000000,9.7605000000000000000
20000.0000000000000000000,19900.0000000000000000000,216.6500000000000000000,0.7519000000000000000,5529.3000000000000000000,0.0545700000000000000,0.0889100000000000000,0.0725800000000000000,295.0700000000000000000,9.7452000000000000000
25000.0000000000000000000,24900.0000000000000000000,221.5520000000000000000,0.7689000000000000000,2549.2000000000000000000,0.0251590000000000000,0.0400840000000000000,0.0327220000000000000,298.3900000000000000000,9.7300000000000000000
30000.0000000000000000000,29900.0000000000000000000,226.5090000000000000000,0.7861000000000000000,1197.0000000000000000000,0.0118140000000000000,0.0184100000000000000,0.0150290000000000000,301.7100000000000000000,9.7147000000000000000
35000.0000000000000000000,34800.0000000000000000000,236.5130000000000000000,0.8208000000000000000,574.5900000000000000000,0.0056708000000000000,0.0084634000000000000,0.0069089000000000000,308.3000000000000000000,9.6995000000000000000
40000.0000000000000000000,39700.0000000000000000000,250.3500000000000000000,0.8688000000000000000,287.1400000000000000000,0.0028339000000000000,0.0039957000000000000,0.0032618000000000000,317.1900000000000000000,9.6844000000000000000
45000.0000000000000000000,44700.0000000000000000000,264.1640000000000000000,0.9168000000000000000,149.1000000000000000000,0.0014715000000000000,0.0019663000000000000,0.0016051000000000000,325.8200000000000000000,9.6693000000000000000
50000.0000000000000000000,49600.0000000000000000000,270.6500000000000000000,0.9393000000000000000,79.7790000000000000000,0.0007873600000000000,0.0010269000000000000,0.0008382700000000000,329.8000000000000000000,9.6542000000000000000
55000.0000000000000000000,54500.0000000000000000000,260.7710000000000000000,0.9050000000000000000,42.5250000000000000000,0.0004196900000000000,0.0005681000000000000,0.0004637500000000000,323.7200000000000000000,9.6391000000000000000
60000.0000000000000000000,59400.0000000000000000000,247.0210000000000000000,0.8573000000000000000,21.9590000000000000000,0.0002167200000000000,0.0003096800000000000,0.0002528000000000000,315.0700000000000000000,9.6241000000000000000
65000.0000000000000000000,64300.0000000000000000000,233.2920000000000000000,0.8096000000000000000,10.9300000000000000000,0.0001078700000000000,0.0001632100000000000,0.0001332300000000000,306.1900000000000000000,9.6091000000000000000
70000.0000000000000000000,69200.0000000000000000000,219.5850000000000000000,0.7621000000000000000,5.2209000000000000000,0.0000515260000000000,0.0000828290000000000,0.0000676150000000000,297.0600000000000000000,9.5942000000000000000
75000.0000000000000000000,74100.0000000000000000000,208.3990000000000000000,0.7232000000000000000,2.3881000000000000000,0.0000235690000000000,0.0000399210000000000,0.0000325890000000000,289.4000000000000000000,9.5793000000000000000
80000.0000000000000000000,79000.0000000000000000000,198.6390000000000000000,0.6894000000000000000,1.0525000000000000000,0.0000103870000000000,0.0000184580000000000,0.0000150680000000000,282.5400000000000000000,9.5644000000000000000
85000.0000000000000000000,83900.0000000000000000000,188.8930000000000000000,0.6555000000000000000,0.4456800000000000000,0.0000043985000000000,0.0000082195000000000,0.0000067098000000000,275.5200000000000000000,9.5496000000000000000
90000.0000000000000000000,88700.0000000000000000000,186.8670000000000000000,0.6485000000000000000,0.1843500000000000000,0.0000018194000000000,0.0000034400000000000,0.0000028082000000000,274.0400000000000000000,9.5347000000000000000
95000.0000000000000000000,93600.0000000000000000000,188.4180000000000000000,0.6539000000000000000,0.0757750000000000000,0.0000007478400000000,0.0000013873000000000,0.0000011325000000000,275.1700000000000000000,9.5200000000000000000
100000.0000000000000000000,98500.0000000000000000000,195.0810000000000000000,0.6770000000000000000,0.0320120000000000000,0.0000003159300000000,0.0000005604400000000,0.0000004575000000000,280.0000000000000000000,9.5052000000000000000
105000.0000000000000000000,103300.0000000000000000000,208.8350000000000000000,0.7247000000000000000,0.0144230000000000000,0.0000001423500000000,0.0000002332500000000,0.0000001904100000000,289.7000000000000000000,9.4905000000000000000
110000.0000000000000000000,108100.0000000000000000000,240.0000000000000000000,0.8329000000000000000,0.0071493000000000000,0.0000000705590000000,0.0000000967340000000,0.0000000789670000000,310.5600000000000000000,9.4759000000000000000
115000.0000000000000000000,113000.0000000000000000000,300.0000000000000000000,1.0411000000000000000,0.0040037000000000000,0.0000000395130000000,0.0000000427940000000,0.0000000349340000000,347.2200000000000000000,9.4612000000000000000
120000.0000000000000000000,117800.0000000000000000000,360.0000000000000000000,1.2493000000000000000,0.0025366000000000000,0.0000000250350000000,0.0000000221990000000,0.0000000181210000000,380.3600000000000000000,9.4466000000000000000
125000.0000000000000000000,122600.0000000000000000000,417.2310000000000000000,1.4480000000000000000,0.0017360000000000000,0.0000000171330000000,0.0000000129180000000,0.0000000105450000000,409.4800000000000000000,9.4321000000000000000
130000.0000000000000000000,127400.0000000000000000000,469.2680000000000000000,1.6286000000000000000,0.0012503000000000000,0.0000000123400000000,0.0000000081494000000,0.0000000066526000000,434.2700000000000000000,9.4175000000000000000
